id,party_id,pillar,section,display_order,nm,identifier,grade,tx,doc_key,first_seen,last_updated
932,4090838,P1,The registration record,0,Company Name,Thermo Fisher Scientific (Asheville) LLC,v,verified,,2026-08-22 17:53:43.820307+07,2026-08-22 17:53:43.820307+07
939,4090838,P1,"The licence family — five licences, one enterprise",0,Asheville,081577302,v,verified · in our registry,,2026-08-22 17:53:43.820307+07,2026-08-22 17:53:43.820307+07
945,4090838,P1,Root selection — assets follow their GLN,0,The rule,an asset sits under the GLN it belongs to; that GLN determines its root,b,"built · applied, not decided per asset",,2026-08-22 17:53:43.820307+07,2026-08-22 17:53:43.820307+07
933,4090838,P1,The registration record,1,Address,"Marietta, OH, US",v,verified,,2026-08-22 17:53:43.820307+07,2026-08-22 17:53:43.820307+07
940,4090838,P1,"The licence family — five licences, one enterprise",1,Madison,0850000184,v,verified · in our registry,,2026-08-22 17:53:43.820307+07,2026-08-22 17:53:43.820307+07
946,4090838,P1,Root selection — assets follow their GLN,1,KingFisher,"Asheville's, under Asheville's GLN",v,verified · 081577302,,2026-08-22 17:53:43.820307+07,2026-08-22 17:53:43.820307+07
934,4090838,P1,The registration record,2,Website,thermofisher.com,c,agent input — launches the Harvest Agent,,2026-08-22 17:53:43.820307+07,2026-08-22 17:53:43.820307+07
941,4090838,P1,"The licence family — five licences, one enterprise",2,CDX Fremont,0884883,v,verified · in our registry,,2026-08-22 17:53:43.820307+07,2026-08-22 17:53:43.820307+07
947,4090838,P1,Root selection — assets follow their GLN,2,Centrifuge line,"Electron LED's, under Electron LED's GLN",e,exception · that GLN is not in our registry,,2026-08-22 17:53:43.820307+07,2026-08-22 17:53:43.820307+07
935,4090838,P1,The registration record,3,Licence Key,081577302,v,verified · read by hand,,2026-08-22 17:53:43.820307+07,2026-08-22 17:53:43.820307+07
942,4090838,P1,"The licence family — five licences, one enterprise",3,Thermo Electron LED GmbH,0850044,e,"exception · named, not in our registry",,2026-08-22 17:53:43.820307+07,2026-08-22 17:53:43.820307+07
948,4090838,P1,Root selection — assets follow their GLN,3,If the company wants a different arrangement,their configuration to change,slot,your console,,2026-08-22 17:53:43.820307+07,2026-08-22 17:53:43.820307+07
936,4090838,P1,The registration record,4,Licence Type,GS1 Company Prefix,,,,2026-08-22 17:53:43.820307+07,2026-08-22 17:53:43.820307+07
943,4090838,P1,"The licence family — five licences, one enterprise",4,Thermo Electron LED GmbH,0850033,e,"exception · named, not in our registry",,2026-08-22 17:53:43.820307+07,2026-08-22 17:53:43.820307+07
937,4090838,P1,The registration record,5,Licensing GS1 Member Organization,GS1 US,,,,2026-08-22 17:53:43.820307+07,2026-08-22 17:53:43.820307+07
944,4090838,P1,"The licence family — five licences, one enterprise",5,Two brands on one licence family,Thermo Scientific · Fisherbrand,v,verified,,2026-08-22 17:53:43.820307+07,2026-08-22 17:53:43.820307+07
938,4090838,P1,The registration record,6,ThingSite,thingsite.thermofisher.com,b,built for you,,2026-08-22 17:53:43.820307+07,2026-08-22 17:53:43.820307+07
129552,4090838,P1,contact,101,Contact email,Service.led.marietta@Thermofisher.com,v,verified · GUDID,,2026-08-30 21:07:48.140447+07,2026-08-30 21:07:48.140447+07
129553,4090838,P1,contact,102,Contact phone,1-866-984-3766,v,verified · GUDID,,2026-08-30 21:07:48.140447+07,2026-08-30 21:07:48.140447+07
949,4090838,P2,FOUND — a real driver already exists,0,RapidStak,public sila-driver-group registry,v,verified · found,,2026-08-22 17:53:43.820307+07,2026-08-27 19:30:32.744536+07
952,4090838,P2,"BUILT — no driver existed, so we authored one",0,Chromeleon CDS,7.2.9 · September 2018,b,built,,2026-08-22 17:53:43.820307+07,2026-08-27 19:30:32.773511+07
958,4090838,P2,"SEARCHED · EMPTY — a dated finding, not an assumption",0,Vanquish UHPLC,searched · no public SiLA driver,e,exception · a Feature we author,,2026-08-22 17:53:43.820307+07,2026-08-22 17:53:43.820307+07
950,4090838,P2,FOUND — a real driver already exists,1,Teleshake 1536,public sila-driver-group registry,v,verified · found,,2026-08-22 17:53:43.820307+07,2026-08-27 19:30:32.761408+07
