domain,url,doc_type,title,slot,pillars
www.thermofisher.com,https://www.thermofisher.com/us/en/home/industrial/environmental/environmental-learning-center/environmental-resource-library/fast5-issues/fast5-december-2015-operating-410i-carbon-dioxide-gas-analyzer.html,manual,fast5 december 15 operating 41 i carbon dioxide gas analyzer,GDTI,
www.thermofisher.com,https://www.thermofisher.com/us/en/home/industrial/environmental/environmental-learning-center/environmental-resource-library/fast5-issues/fast5-january-2016-operating-51i-total-carbon-analyzer.html,manual,fast5 january 16 operating 51i total carbon analyzer,GDTI,
www.thermofisher.com,https://www.thermofisher.com/us/en/home/industrial/environmental/environmental-learning-center/environmental-resource-library/fast5-issues/fast5-february-2016-operating-450i-hydrogen-sulfide-sulfur-dioxide-analyzer.html,manual,fast5 february 16 operating 45 i hydrogen sulfide sulfur dioxide analyzer,GDTI,
www.thermofisher.com,https://www.thermofisher.com/us/en/home/industrial/environmental/environmental-learning-center/environmental-resource-library/fast5-issues/fast5-october-2016-tips-tricks-modbus-standard-protocol.html,application-note,fast5 october 16 tips tricks modbus standard protocol,GDTI,P3
www.thermofisher.com,https://www.thermofisher.com/us/en/home/industrial/environmental/environmental-learning-center/environmental-resource-library/fast5-issues/fast5-may-2018-modbus-protocol-modbus-register-tables.html,application-note,fast5 may 18 modbus protocol modbus register tables,GDTI,P3
www.thermofisher.com,https://www.thermofisher.com/us/en/home/industrial/environmental/environmental-learning-center/environmental-resource-library/talk-tech/talk-tech-january-2015-pm-10-inlet-cleaning-instructions.html,manual,talk tech january 15 pm 1 inlet cleaning instructions,GDTI,P3
www.thermofisher.com,https://www.thermofisher.com/us/en/home/industrial/environmental/environmental-learning-center/environmental-resource-library/talk-tech/talk-tech-february-2015-finding-operators-manuals.html,manual,talk tech february 15 finding operators manuals,GDTI,
www.thermofisher.com,https://www.thermofisher.com/us/en/home/industrial/environmental/environmental-learning-center/environmental-resource-library/talk-tech/talk-tech-march-2015-updating-firmware-using-eport.html,driver,talk tech march 15 updating firmware using eport,GDTI,
www.thermofisher.com,https://www.thermofisher.com/us/en/home/industrial/chromatography/liquid-chromatography-lc/hplc-uhplc-systems/hplc-system-total-cost-ownership-calculator.html,manual,hplc system total cost ownership calculator,GDTI,
www.thermofisher.com,https://www.thermofisher.com/us/en/home/industrial/chromatography/chromatography-data-systems-cds/chromeleon-cds-ce-drivers.html,driver,chromeleon cds ce drivers,GDTI,P2
www.thermofisher.com,https://www.thermofisher.com/us/en/home/industrial/chromatography/chromatography-learning-center/chromatography-resource-library/customer-application-notes.html,application-note,customer application notes,GDTI,P3
www.thermofisher.com,https://www.thermofisher.com/us/en/home/industrial/spectroscopy-elemental-isotope-analysis/spectroscopy-elemental-isotope-analysis-applications/analytical-instrument-solutions-automotive/automotive-paints-coatings-adhesives.html,certificate,automotive paints coatings adhesives,GDTI,
www.thermofisher.com,https://www.thermofisher.com/us/en/home/industrial/microbiology/microbial-identification/biochemical-identification/biochemical-identification-software-downloads.html,driver,biochemical identification software downloads,GDTI,P2
www.thermofisher.com,https://www.thermofisher.com/us/en/home/industrial/microbiology/microbiology-learning-center/susceptibility-testing-empowered/IMC-white-paper.html,application-note,IMC white paper,GDTI,
www.thermofisher.com,https://www.thermofisher.com/us/en/home/industrial/mass-spectrometry/proteomics-mass-spectrometry/quantitative-proteomics-mass-spectrometry/silac-quantitation.html,driver,silac quantitation,GDTI,P2
www.thermofisher.com,https://www.thermofisher.com/us/en/home/industrial/manufacturing-processing/online-non-contact-measurement-gauges/metals-online-coating-weight-thickness-measurement.html,certificate,metals online coating weight thickness measurement,GDTI,
www.thermofisher.com,https://www.thermofisher.com/us/en/home/industrial/manufacturing-processing/online-non-contact-measurement-gauges/metals-online-coating-weight-thickness-measurement/metals-thickness-coating-weight-measurement-applications.html,certificate,metals thickness coating weight measurement applications,GDTI,
www.thermofisher.com,https://www.thermofisher.com/us/en/home/industrial/manufacturing-processing/online-non-contact-measurement-gauges/metals-online-coating-weight-thickness-measurement/metals-thickness-coating-weight-measurement-applications/aluminum-thickness-coating-weight-measurement-applications.html,certificate,aluminum thickness coating weight measurement applications,GDTI,
www.thermofisher.com,https://www.thermofisher.com/us/en/home/industrial/manufacturing-processing/online-non-contact-measurement-gauges/metals-online-coating-weight-thickness-measurement/metals-thickness-coating-weight-measurement-applications/steel-gauge-thickness-coating-weight-measurement-applications.html,certificate,steel gauge thickness coating weight measurement applications,GDTI,
www.thermofisher.com,https://www.thermofisher.com/us/en/home/industrial/manufacturing-processing/online-non-contact-measurement-gauges/metals-online-coating-weight-thickness-measurement/metals-thickness-coating-weight-measurement-applications/non-ferrous-metals-thickness-coating-weight-measurement-applications.html,certificate,non ferrous metals thickness coating weight measurement applications,GDTI,
www.thermofisher.com,https://www.thermofisher.com/us/en/home/industrial/manufacturing-processing/online-non-contact-measurement-gauges/metals-online-coating-weight-thickness-measurement/metals-thickness-coating-weight-measurement-applications/non-contact-coating-weight-gauges-metallic-coil-coating-lines.html,certificate,non contact coating weight gauges metallic coil coating lines,GDTI,
www.thermofisher.com,https://www.thermofisher.com/us/en/home/industrial/manufacturing-processing/online-non-contact-measurement-gauges/metals-online-coating-weight-thickness-measurement/metals-online-non-contact-thickness-coating-weight-measurement-g.html,certificate,metals online non contact thickness coating weight measurement g,GDTI,
www.thermofisher.com,https://www.thermofisher.com/us/en/home/industrial/manufacturing-processing/online-non-contact-measurement-gauges/metals-online-coating-weight-thickness-measurement/metals-coating-weight-measurement-gauges-product-comparison-tabl.html,certificate,metals coating weight measurement gauges product comparison tabl,GDTI,P1
www.thermofisher.com,https://www.thermofisher.com/us/en/home/industrial/manufacturing-processing/online-non-contact-measurement-gauges/metals-online-coating-weight-thickness-measurement/metals-thickness-measurement-gauges-product-comparison-table.html,certificate,metals thickness measurement gauges product comparison table,GDTI,P1
www.thermofisher.com,https://www.thermofisher.com/us/en/home/industrial/manufacturing-processing/data-acquisition/software-firmware-drivers.html,driver,software firmware drivers,GDTI,P2
www.thermofisher.com,https://www.thermofisher.com/us/en/home/industrial/cement-coal-minerals.html,certificate,cement coal minerals,GDTI,
www.thermofisher.com,https://www.thermofisher.com/us/en/home/industrial/cement-coal-minerals/cement-production.html,certificate,cement production,GDTI,P1
www.thermofisher.com,https://www.thermofisher.com/us/en/home/industrial/cement-coal-minerals/cement-production/technologies.html,certificate,technologies,GDTI,P1
www.thermofisher.com,https://www.thermofisher.com/us/en/home/industrial/cement-coal-minerals/cement-production/solutions.html,certificate,solutions,GDTI,P1
www.thermofisher.com,https://www.thermofisher.com/us/en/home/industrial/cement-coal-minerals/cement-production/faqs.html,certificate,faqs,GDTI,P1
www.thermofisher.com,https://www.thermofisher.com/us/en/home/industrial/cement-coal-minerals/cement-production/services.html,certificate,services,GDTI,P1
www.thermofisher.com,https://www.thermofisher.com/us/en/home/industrial/cement-coal-minerals/cement-production/resources.html,certificate,resources,GDTI,P1
www.thermofisher.com,https://www.thermofisher.com/us/en/home/industrial/cement-coal-minerals/iron-ore-sintering-process-steel-manufacturing/online-elemental-analysis-sinter-faqs.html,certificate,online elemental analysis sinter faqs,GDTI,
www.thermofisher.com,https://www.thermofisher.com/us/en/home/industrial/cement-coal-minerals/minerals-mining-processing.html,certificate,minerals mining processing,GDTI,
www.thermofisher.com,https://www.thermofisher.com/us/en/home/industrial/cement-coal-minerals/minerals-mining-processing/process-control-considerations-online-slurry-analysis-metallurgical-plants-faqs.html,certificate,process control considerations online slurry analysis metallurgical plants faqs,GDTI,
