iri,label,domain,obo_id
http://purl.allotrope.org/ontologies/common#AFC_0000021,range,other,AFO_common#AFC:0000021
http://purl.allotrope.org/ontologies/common#AFC_0000036,codelist,other,AFO_common#AFC:0000036
http://purl.allotrope.org/ontologies/common#AFC_0000050,code,other,AFO_common#AFC:0000050
http://purl.allotrope.org/ontologies/common#AFC_0000090,condition,other,AFO_common#AFC:0000090
http://purl.allotrope.org/ontologies/common#AFC_0000091,and condition,other,AFO_common#AFC:0000091
http://purl.allotrope.org/ontologies/common#AFC_0000092,or condition,other,AFO_common#AFC:0000092
http://purl.allotrope.org/ontologies/common#AFC_0000093,one of condition,other,AFO_common#AFC:0000093
http://purl.allotrope.org/ontologies/common#AFC_0000160,list,other,AFO_common#AFC:0000160
http://purl.allotrope.org/ontologies/common#AFC_0000161,list item,other,AFO_common#AFC:0000161
http://purl.allotrope.org/ontologies/common#AFC_0000162,series,other,AFO_common#AFC:0000162
http://purl.allotrope.org/ontologies/common#AFC_0000163,series item,other,AFO_common#AFC:0000163
http://purl.allotrope.org/ontologies/common#AFC_0000166,collection,other,AFO_common#AFC:0000166
http://purl.allotrope.org/ontologies/common#AFC_0000167,item,other,AFO_common#AFC:0000167
http://purl.allotrope.org/ontologies/common#AFC_0000168,set,other,AFO_common#AFC:0000168
http://purl.allotrope.org/ontologies/equipment#AFE_0000004,ion source,equipment,AFO_equipment#AFE:0000004
http://purl.allotrope.org/ontologies/equipment#AFE_0000014,plumbing equipment,equipment,AFO_equipment#AFE:0000014
http://purl.allotrope.org/ontologies/equipment#AFE_0000022,sample passage,equipment,AFO_equipment#AFE:0000022
http://purl.allotrope.org/ontologies/equipment#AFE_0000023,calorimeter,equipment,AFO_equipment#AFE:0000023
http://purl.allotrope.org/ontologies/equipment#AFE_0000024,gas chromatograph,equipment,AFO_equipment#AFE:0000024
http://purl.allotrope.org/ontologies/equipment#AFE_0000029,well plate,equipment,AFO_equipment#AFE:0000029
http://purl.allotrope.org/ontologies/equipment#AFE_0000038,mass-to-charge analyzer,equipment,AFO_equipment#AFE:0000038
http://purl.allotrope.org/ontologies/equipment#AFE_0000040,barcode reader,equipment,AFO_equipment#AFE:0000040
http://purl.allotrope.org/ontologies/equipment#AFE_0000049,anode,equipment,AFO_equipment#AFE:0000049
http://purl.allotrope.org/ontologies/equipment#AFE_0000073,autosampler,equipment,AFO_equipment#AFE:0000073
http://purl.allotrope.org/ontologies/equipment#AFE_0000074,device system,equipment,AFO_equipment#AFE:0000074
