urn,source_url,name,brand,adapter,seen_at
urn:epc:id:gtin:04260556635491,https://world.openfoodfacts.org/product/4260556635491/cold-brew-coffee-geschmack-yfood,Cold Brew Coffee,yfood,openfoodfacts,1784436785
urn:epc:id:gtin:04260556631356,https://world.openfoodfacts.org/product/4260556631356/yfood-this-is-food-cold-brew-coffee,Yfood - This is food Cold Brew Coffee,yfood,openfoodfacts,1784436785
urn:epc:id:gtin:00041271027730,https://world.openfoodfacts.org/product/0041271027730/cold-brew-coffee-stōk,COLD BREW COFFEE,STŌK,openfoodfacts,1784436785
urn:epc:id:gtin:00853330007313,https://world.openfoodfacts.org/product/0853330007313/cold-brew-coffee-brekki,cold brew coffee,brekki,openfoodfacts,1784436785
urn:epc:id:gtin:00813636021703,https://world.openfoodfacts.org/product/0813636021703/mocha-cold-brew-coffee-with-almond-califia-farms,Mocha Cold Brew - Coffee with Almond,Califia Farms,openfoodfacts,1784436785
urn:epc:id:gtin:00012000192869,https://world.openfoodfacts.org/product/0012000192869/nitro-cold-brew-starbucks,NITRO COLD BREW,STARBUCKS,openfoodfacts,1784436785
urn:epc:id:gtin:00813636020652,https://world.openfoodfacts.org/product/0813636020652/cold-brew-black-coffee-blonde-roast-califia-farms,COLD BREW BLACK COFFEE BLONDE ROAST,CALIFIA FARMS,openfoodfacts,1784436785
urn:epc:id:gtin:00076840000760,https://world.openfoodfacts.org/product/0076840000760/cold-brew-coffee-dairy-free-sorbetto-talenti,Cold Brew Coffee Dairy Free Sorbetto,Talenti,openfoodfacts,1784436785
urn:epc:id:gtin:00096619226504,https://world.openfoodfacts.org/product/0096619226504/cold-brew-coffee-100-colombian-kirkland-signature,Cold Brew Coffee 100% Colombian,Kirkland Signature,openfoodfacts,1784436785
urn:epc:id:gtin:00012000192906,https://world.openfoodfacts.org/product/0012000192906/nitro-cold-brew-premium-coffee-drink-vanilla-sweet-cream-starbucks,Nitro Cold Brew Premium Coffee Drink Vanilla Sweet Cream,Starbucks,openfoodfacts,1784436785
urn:epc:id:gtin:03770025630090,https://world.openfoodfacts.org/product/3770025630090/cold-brew-green-coffee,Cold Brew Green Coffee,,openfoodfacts,1784436785
urn:epc:id:gtin:00098100100348,https://world.openfoodfacts.org/product/0098100100348/cold-brew-salted-caramel-cream-starbucks,Cold Brew Salted Caramel Cream,Starbucks,openfoodfacts,1784436785
urn:epc:id:gtin:04901201156731,https://world.openfoodfacts.org/product/4901201156731/cold-brew-coffee-ucc,Cold Brew Coffee,UCC,openfoodfacts,1784436785
urn:epc:id:gtin:04260556635378,https://world.openfoodfacts.org/product/4260556635378/cold-brew-coffee-yfood,Cold Brew Coffee,Yfood,openfoodfacts,1784436785
urn:epc:id:gtin:00041271027747,https://world.openfoodfacts.org/product/0041271027747/cold-brew-coffee-stōk,Cold Brew Coffee,STōK,openfoodfacts,1784436785
urn:epc:id:gtin:00813636020645,https://world.openfoodfacts.org/product/0813636020645/pure-black-medium-roast-cold-brew-coffee-califa-farms,Pure Black Medium Roast Cold Brew Coffee,"Califa Farms, Califia Farms",openfoodfacts,1784436785
urn:epc:id:gtin:04260556631172,https://world.openfoodfacts.org/product/4260556631172/this-is-food-cold-brew-coffee-yfood,This Is Food Cold Brew Coffee,yfood,openfoodfacts,1784436785
urn:epc:id:gtin:00762111380159,https://world.openfoodfacts.org/product/0762111380159/madagascar-vanilla-cold-brew-coffee-starbucks,Madagascar Vanilla Cold Brew Coffee,Starbucks,openfoodfacts,1784436785
urn:epc:id:gtin:00036632078070,https://world.openfoodfacts.org/product/0036632078070/stōk-cold-brew-coffee-espresso-blend,STōK Cold Brew Coffee Espresso Blend,STōK,openfoodfacts,1784436785
urn:epc:id:gtin:00036632079251,https://world.openfoodfacts.org/product/0036632079251/cold-brew-peppermint-coffee-stok-cold-brew-peppermint-coffee,Cold brew peppermint coffee,Stok cold brew peppermint coffee,openfoodfacts,1784436785
urn:epc:id:gtin:00604913002160,https://world.openfoodfacts.org/product/0604913002160/cold-brew-coffee-la-colombe,Cold Brew Coffee,La Colombe,openfoodfacts,1784436785
urn:epc:id:gtin:00881334016499,https://world.openfoodfacts.org/product/0881334016499/cold-brew-coffee-dunkin,Cold Brew Coffee,Dunkin',openfoodfacts,1784436785
urn:epc:id:gtin:00854092006149,https://world.openfoodfacts.org/product/0854092006149/cold-brew-coffee-koia,Cold Brew Coffee,koia,openfoodfacts,1784436785
urn:epc:id:gtin:04061462201028,https://world.openfoodfacts.org/product/4061462201028/vanilla-cream-cold-brew-coffee-barissimo,Vanilla Cream Cold Brew Coffee,Barissimo,openfoodfacts,1784436785
urn:epc:id:gtin:00852909003534,https://world.openfoodfacts.org/product/0852909003534/double-espresso-cold-brew-coffee-with-almond-milk-califia-farms,Double Espresso Cold Brew Coffee With Almond Milk,"Califia Farms, Califia Farms  Lp",openfoodfacts,1784436785
urn:epc:id:gtin:00852909003541,https://world.openfoodfacts.org/product/0852909003541/mocha-cold-brew-coffee-with-almondmilk-califia-farms,Mocha Cold Brew Coffee With Almondmilk,"Califia Farms, Califia Farms  Lp",openfoodfacts,1784436785
urn:epc:id:gtin:00854560005049,https://world.openfoodfacts.org/product/0854560005049/cold-brew-coffee-high-brew-coffee-inc,Cold Brew Coffee,High Brew Coffee  Inc.,openfoodfacts,1784436785
urn:epc:id:gtin:00813314016076,https://world.openfoodfacts.org/product/0813314016076/authentic-cold-brew-coffee,Authentic cold brew coffee,,openfoodfacts,1784436785
urn:epc:id:gtin:00864421000359,https://world.openfoodfacts.org/product/0864421000359/nitro-cold-brew-coffee-rise-brewing-co,NITRO COLD BREW COFFEE,RISE BREWING CO.,openfoodfacts,1784436785
urn:epc:id:gtin:00893723002839,https://world.openfoodfacts.org/product/0893723002839/cold-brew-coffee-concentrate,Cold brew coffee concentrate,,openfoodfacts,1784436785
urn:epc:id:gtin:00859563006062,https://world.openfoodfacts.org/product/0859563006062/nitro-cold-brew-coffee-nitro,"Nitro cold brew coffee, nitro",,openfoodfacts,1784436785
urn:epc:id:gtin:00604913002153,https://world.openfoodfacts.org/product/0604913002153/cold-brew-coffee-la-colombe,Cold Brew Coffee,La Colombe,openfoodfacts,1784436785
urn:epc:id:gtin:00855186006878,https://world.openfoodfacts.org/product/0855186006878/cold-brew-coffee-with-oatmilk-original-oatly,COLD BREW COFFEE WITH OATMILK ORIGINAL,Oatly,openfoodfacts,1784436785
urn:epc:id:gtin:00762111380135,https://world.openfoodfacts.org/product/0762111380135/cold-brew-coffee-concentrate-caramel-dolce-starbucks,Cold Brew Coffee Concentrate Caramel Dolce,Starbucks,openfoodfacts,1784436785
urn:epc:id:gtin:00036632072962,https://world.openfoodfacts.org/product/0036632072962/cold-brew-coffee-black-unsweetened-stok,Cold Brew coffee black unsweetened,Stok,openfoodfacts,1784436785
urn:epc:id:gtin:00000042414025,https://world.openfoodfacts.org/product/42414025/cold-brew-coffee-energy-drink-kong-strong,Cold Brew Coffee Energy Drink,"Kong Strong, Wild Power",openfoodfacts,1784436785
urn:epc:id:gtin:00077890464212,https://world.openfoodfacts.org/product/0077890464212/cold-brew-unsweetened-black-coffee-the-buzz,Cold Brew Unsweetened Black Coffee,The Buzz,openfoodfacts,1784436785
urn:epc:id:gtin:00000000626118,https://world.openfoodfacts.org/product/00626118/cold-brew-coffee-trader-joe-s,Cold Brew Coffee,Trader Joe's,openfoodfacts,1784436785
urn:epc:id:gtin:00096619227006,https://world.openfoodfacts.org/product/0096619227006/cold-brew-colombian-coffee-kirkland,Cold Brew Colombian Coffee,Kirkland,openfoodfacts,1784436785
urn:epc:id:gtin:00000000507592,https://world.openfoodfacts.org/product/00507592/cold-brew-coffee-concentrate-trader-joe-s,Cold brew coffee concentrate,Trader Joe's,openfoodfacts,1784436785
urn:epc:id:gtin:00000000569521,https://world.openfoodfacts.org/product/00569521/black-cold-brew-coffee-trader-joe-s,Black Cold Brew Coffee,Trader Joe's,openfoodfacts,1784436785
urn:epc:id:gtin:00011225007385,https://world.openfoodfacts.org/product/0011225007385/cold-brew-coffee,Cold Brew Coffee,,openfoodfacts,1784436785
urn:epc:id:gtin:00544074006211,https://world.openfoodfacts.org/product/0544074006211/cold-brew-coffee-extra-creamy-skyr-icelandic-provisions,Cold brew coffee  extra creamy skyr,Icelandic provisions,openfoodfacts,1784436785
urn:epc:id:gtin:00041220963454,https://world.openfoodfacts.org/product/0041220963454/black-cold-brew-coffee,Black Cold Brew Coffee,,openfoodfacts,1784436785
urn:epc:id:gtin:00000029320653,https://world.openfoodfacts.org/product/29320653/chilled-cold-brew-oat-latte-m-s-food,chilled cold brew oat latte,m&s food,openfoodfacts,1784436785
urn:epc:id:gtin:00762111525499,https://world.openfoodfacts.org/product/0762111525499/brown-sugar-cinnamon-cold-brew-coffee-concentrate-starbucks,Brown Sugar Cinnamon Cold Brew Coffee Concentrate,Starbucks,openfoodfacts,1784436785
urn:epc:id:gtin:00000029359745,https://world.openfoodfacts.org/product/29359745/m-s-classic-latte-cold-brew-coffee,M&S Classic Latte Cold Brew Coffee,Marks & Spencers,openfoodfacts,1784436785
urn:epc:id:gtin:00036632076182,https://world.openfoodfacts.org/product/0036632076182/cold-brew-coffee-stok,Cold Brew Coffee,Stok,openfoodfacts,1784436785
urn:epc:id:gtin:00852909003497,https://world.openfoodfacts.org/product/0852909003497/double-espresso-cold-brew-coffee-with-almond-milk-califia-farms,Double Espresso Cold Brew Coffee With Almond Milk,"Califia Farms, Califia Farms  Lp",openfoodfacts,1784436785
urn:epc:id:gtin:00762111561589,https://world.openfoodfacts.org/product/0762111561589/cold-brew-dark-chocolate-hazelnut-concentrate-starbucks,Cold Brew Dark Chocolate Hazelnut Concentrate,Starbucks,openfoodfacts,1784436785
